id,type,lod,point_count,unique_point_count,surface_count,actual_volume,convex_hull_volume,obb_volume,aabb_volume,footprint_perimeter,obb_width,obb_length,surface_area,ground_area,wall_area,roof_area,ground_point_count,wall_point_count,roof_point_count,ground_surface-count,wall_surface_count,roof_surface_count,max_Z,min_Z,height_range,mean_Z,median_Z,std_Z,mode_Z,ground_Z,orientation_values,orientation_edges,errors,valid,hole_count,geometry,2d_grid_point_count,3d_grid_point_count,circularity_2d,hemisphericality_3d,convexity_2d,convexity_3d,fractality_2d,fractality_3d,rectangularity_2d,rectangularity_3d,squareness_2d,cubeness_3d,horizontal_elongation,min_vertical_elongation,max_vertical_elongation,form_factor_3D,equivalent_rectangularity_index_2d,equivalent_prism_index_3d,proximity_index_2d_,proximity_index_3d,exchange_index_2d,exchange_index_3d,spin_index_2d,spin_index_3d,perimeter_index_2d,circumference_index_3d,depth_index_2d,depth_index_3d,girth_index_2d,girth_index_3d,dispersion_index_2d,dispersion_index_3d,range_index_2d,range_index_3d,roughness_index_2d,roughness_index_3d,shared_walls_area,closest_distance
NL.IMBAG.Pand.0503100000017120-0,BuildingPart,2.2,24,8,6,42.25611666208776,42.256116661751456,44.005208020274765,111.34549354531877,18.76939487779534,2.359140520091904,7.025637765082756,81.04487497286867,16.574276000034537,47.852572240940425,16.618026731893707,4,16,4,1,4,1,3.204500396728516,2.993500396728516,0.2110000000000003,3.0990003967285156,3.099000396728515,0.08780802924562207,NA,0.549500396728515,"[ 0.          0.          0.          0.          0.          0.
  6.06181157  0.          0.          0.          0.          0.
  0.          0.          0.         18.51234248  0.          0.
  0.          0.          0.          0.          0.          0.
  5.96744595  0.          0.          0.          0.          0.
  0.          0.          0.         17.31097224  0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84855.926125 447356.07 0.549500396728515, 84854.616125 447358.032 0.549500396728515, 84860.459125 447361.933 0.549500396728515, 84861.769125 447359.971 0.549500396728515, 84855.926125 447356.07 0.549500396728515))",48,48,0.5912128815790032,0.43552434558397424,1.0,1.0000000000079587,0.5212084075474385,0.43212035652251823,0.9999884924847788,0.960252628339329,0.867614903158777,0.8981566346417961,0.664209770134069,0.5438847683473231,0.2638039544322237,1.3661808013387544,1.0000028608673102,0.9965885464943426,0.7833321837487727,0.7656963623633579,0.6233173663586131,-1,0.5586008991116532,0.5396388331289085,0.7689036881033952,0.7239106342445426,0.7135461533311204,0.7282211770525432,0.5135485027874789,0.48790573132709536,0.6719628896415475,0.6750984980215773,0.6198502716205457,0.5489401709047617,0.8469244120726742,1.222260949948921,0.0,1.5096897121067512
NL.IMBAG.Pand.0503100000017121-0,BuildingPart,2.2,24,8,6,55.65848813946026,55.658642753618025,58.313975570789474,167.19574409984395,22.550786699286995,2.3588616527669033,8.918194492152043,101.83718773387012,21.03105099998394,59.68035380228332,21.125782932574104,4,16,4,1,4,1,3.2075003967285145,2.956500396728515,0.25099999999999945,3.0820003967285152,3.0820003967285157,0.11281068211831681,NA,0.43550039672851426,"[ 0.          0.          0.          0.          0.          0.
  6.27457465  0.          0.          0.          0.          0.
  0.          0.          0.         24.59318781  0.          0.
  0.          0.          0.          0.          0.          0.
  6.20942741  0.          0.          0.          0.          0.
  0.          0.          0.         22.60316394  0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84877.118125 447373.054 0.4355003967285143, 84878.426125 447371.091 0.4355003967285143, 84871.011125 447366.141 0.4355003967285143, 84869.701125 447368.102 0.4355003967285143, 84877.118125 447373.054 0.4355003967285143))",63,60,0.5196936930492677,0.40727054126785317,1.0,0.9999972220997474,0.5111962674726872,0.42044728532434084,0.9997273347956577,0.9544622467369658,0.8134461021725933,0.8588799337397757,0.7355000886286247,0.6403419549157516,0.26457946656130704,1.4426911676016243,1.0000111091527675,0.9956448420457538,0.7238825156181314,0.7216284941383049,0.5590666300990359,-1,0.4700680764233358,0.47172112175374015,0.7208978381499473,0.6922537713273584,0.6539525355177691,0.7053488635608613,0.4555232766544869,0.48052835180907105,0.6211907428384922,0.6381653081704464,0.560994993833746,0.49189065275883187,0.8154076142925083,1.300482436739451,0.0,1.5069900298090355
NL.IMBAG.Pand.0503100000017123-0,BuildingPart,2.2,24,8,6,20.96205994953025,20.96205994953508,21.64877199125098,46.65187005599612,12.009102504572521,2.0001102722783957,4.020724312819765,47.46937663231891,8.008704500011204,31.431505425410855,8.029166708632637,4,16,4,1,4,1,2.703500396728515,2.554500396728514,0.1490000000000009,2.6290003967285145,2.6290003967285145,0.07156290938747564,NA,0.011500396728514772,"[ 0.          0.          0.          0.          0.          0.
  5.24097707  0.          0.          0.          0.          0.
  0.          0.          0.         10.72447536  0.          0.
  0.          0.          0.          0.          0.          0.
  5.22928889  0.          0.          0.          0.          0.
  0.          0.          0.         10.2367641   0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84928.553125 447391.952 0.0115003967285148, 84929.655125 447390.283 0.0115003967285148, 84926.362125 447388.033 0.0115003967285148, 84925.233125 447389.684 0.0115003967285148, 84928.553125 447391.952 0.0115003967285148))",20,22,0.697832240006895,0.4819753802752512,0.9999999999999998,0.9999999999997695,0.5814944707387791,0.47449960441026373,0.9958731726400006,0.9682793997738876,0.9426068128164032,0.9609342970641395,0.502549760524192,0.3276086131773285,0.26017755547633215,1.0534314916854457,1.0006406834232378,0.9999883490976954,0.9561273426868747,0.9404902635714771,0.7409901579767478,-1,0.8848360572923537,0.8696255303708942,0.8353635376331043,0.7745091776029325,0.7347184402944243,0.8849594074571201,0.6217833528793982,0.5667315267292141,0.7403365615396306,0.7748757380554443,0.7112154796374671,0.6538510641401114,1.014401836835884,0.9597325588590231,5.2409769901151435,0.00999999999999801
NL.IMBAG.Pand.0503100000017125-0,BuildingPart,2.2,160,51,31,202.01144181259346,250.1744542661403,347.0470801907808,611.081122260304,27.833917234434086,5.99814293601343,8.029293241885197,258.84052837783884,42.9289159999826,132.5420995141729,56.67620073830413,12,104,44,1,26,4,7.222500396728515,3.092500396728516,4.129999999999999,4.534409487637606,3.652500396728515,1.4742278073958495,5.488500396728515,0.016500396728513778,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.38221098e+00 3.20836594e+01 1.60961362e-02
 1.01424971e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.05587273e+01
 1.08829979e+01 0.00000000e+00 8.23008646e-01 1.31141009e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.90491652e+01 3.59120671e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.88488576e+00 2.89444817e+01 0.00000000e+00 0.00000000e+00]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84910.709125 447373.425 0.0165003967285138, 84911.629125 447372.085 0.0165003967285138, 84908.019125 447369.68 0.0165003967285138, 84908.515125 447368.906 0.0165003967285138, 84907.723125 447368.379 0.0165003967285138, 84907.205125 447369.187 0.0165003967285138, 84906.597125 447368.817 0.0165003967285138, 84902.739125 447374.673 0.0165003967285138, 84904.047125 447375.577 0.0165003967285138, 84904.222125 447375.698 0.0165003967285138, 84905.963125 447376.833 0.0165003967285138, 84907.627125 447377.918 0.0165003967285138, 84910.709125 447373.425 0.0165003967285138))",90,308,0.6963236137506872,0.4257987695539212,0.9483713630161884,0.8074822923274568,0.4348681522936645,0.35103390393161216,0.8913654410456092,0.5820865621504222,0.9415873623622336,0.8847353754094917,0.25296750843227067,0.10048117821229996,0.16951988832976272,1.2469028282219228,0.9516162765428607,0.8912356504984951,0.989776765051705,0.838513552292756,0.8863869910388416,-1,0.9677557136115841,0.6920078196726844,0.8344600731914543,0.7130931532969207,0.8758429099016621,0.5858229144921951,0.787247869716887,0.5593536687793879,0.8876268769604062,0.8238017039725212,0.7722932839640746,0.6409469695548337,0.8033368375650505,0.7189260566722903,74.06256970280697,-0.0
NL.IMBAG.Pand.0503100000017131-0,BuildingPart,2.2,24,8,6,42.06388500900291,42.06388500884207,43.965284434234,111.31296145220578,18.788254319379334,2.3591405148965383,7.035162615845067,80.87572138411021,16.59652200000116,47.61883057246691,16.660368811642144,4,16,4,1,4,1,3.225500396728515,2.996500396728516,0.2289999999999992,3.111000396728515,3.1110003967285147,0.10408289965215216,NA,0.576500396728516,"[ 0.          0.          0.          0.          0.          0.
  5.95329111  0.          0.          0.          0.          0.
  0.          0.          0.         18.55829475  0.          0.
  0.          0.          0.          0.          0.          0.
  6.0051922   0.          0.          0.          0.          0.
  0.          0.          0.         17.10205252  0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84863.157125 447360.897 0.576500396728516, 84861.847125 447362.859 0.576500396728516, 84867.698125 447366.765 0.576500396728516, 84869.008125 447364.803 0.576500396728516, 84863.157125 447360.897 0.576500396728516))",48,48,0.5908185052995084,0.43490391704687137,1.0,1.0000000000038236,0.5211436996880545,0.4325422239827392,0.9999749859916591,0.9567522546550262,0.8673254779543003,0.8973034494332262,0.6646643945964912,0.541517293507356,0.26859704705374954,1.372179199276909,1.000006224711221,0.9960378366354321,0.78396404951946,0.7645334944706136,0.6229417863131724,-1,0.5595530670440578,0.5380009719931642,0.7686471916942834,0.7232229703987925,0.7146007087084171,0.7290880157106756,0.5132042057030949,0.4770175970896553,0.6715412779940766,0.6732165856920123,0.619511279227142,0.5476773839727411,0.8462710363952235,1.2398992521409071,0.0,1.5077907813337004
NL.IMBAG.Pand.0503100000017201-0,BuildingPart,2.2,120,38,24,334.3021895314793,390.1627683931664,536.8177584586185,1074.2560274141026,30.271642372360475,5.0956912961030545,10.091712250856368,331.48672741817154,45.97075349991453,220.4589864458187,56.62430800934682,12,82,26,1,19,4,10.923500396728516,3.732500396728515,7.191000000000001,6.962269627497747,7.613000396728515,2.6589201872433437,7.562500396728515,0.48450039672851375,"[ 0.          0.          0.          0.          0.          0.86531897
 71.33221827  0.          0.          0.          0.          0.
  0.          0.          0.63515464 35.93632356  1.27700949  0.
  0.          0.          0.          0.          0.          0.
 70.28744125  0.          0.          0.          0.          0.
  0.          0.         17.90808458 16.6751237   5.54231199  0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84908.515125 447368.906 0.4845003967285138, 84908.019125 447369.68 0.4845003967285138, 84908.776125 447370.184 0.4845003967285138, 84909.953125 447368.47 0.4845003967285138, 84909.805125 447368.368 0.4845003967285138, 84910.361125 447367.557 0.4845003967285138, 84912.466125 447364.489 0.4845003967285138, 84914.331125 447361.772 0.4845003967285138, 84910.210125 447359.09 0.4845003967285138, 84908.367125 447361.774 0.4845003967285138, 84906.390125 447364.656 0.4845003967285138, 84905.055125 447366.602 0.4845003967285138, 84908.515125 447368.906 0.4845003967285138))",120,507,0.6304048101177836,0.43131404978717497,0.9458402967128982,0.8568275002462652,0.4387436766544278,0.3296770299956414,0.8939508743459793,0.6227480076131825,0.8959108959228164,0.8923588352429319,0.49506177252818107,0.07614666687990057,0.5335111355304052,0.9543817841787876,0.948711950430698,0.9455440187342135,0.9176965761962096,0.8098661210560556,0.7568545166331014,-1,0.8007971456521749,0.6374757081354705,0.7939803587733035,0.7192376312535573,0.8126926288665383,0.5747299370753163,0.6318763234876507,0.5254502601109746,0.7720927877169597,0.7941584433762938,0.6839115130580186,0.6166049550899443,0.7925819612248801,0.8252859020299443,155.2066856364125,0.0
NL.IMBAG.Pand.0503100000017204-0,BuildingPart,2.2,130,41,26,279.8576562987155,318.4491348870328,437.6318167631217,1088.9128784111426,30.07253824979775,3.8135476747178654,11.187086808174957,305.16509476658973,42.2612889999829,207.21033955845985,49.212709031573745,15,86,29,1,21,4,10.658500396728515,3.139500396728515,7.519,6.802569362245757,6.554500396728516,2.3833572081101595,10.170500396728515,0.4005003967285141,"[0.00000000e+00 0.00000000e+00 7.38876316e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 7.48590901e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.31369562e+00 2.99484722e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.29239404e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.25712529e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.36289511e-02 2.51455107e+01 0.00000000e+00 0.00000000e+00]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84937.298125 447386.838 0.4005003967285141, 84935.893125 447388.996 0.4005003967285141, 84935.814125 447388.944 0.4005003967285141, 84935.784125 447388.989 0.4005003967285141, 84938.792125 447390.946 0.4005003967285141, 84938.991125 447391.051 0.4005003967285141, 84940.373125 447388.96 0.4005003967285141, 84941.635125 447387.053 0.4005003967285141, 84943.498125 447384.235 0.4005003967285141, 84945.135125 447381.761 0.4005003967285141, 84941.927125 447379.699 0.4005003967285141, 84940.549125 447381.782 0.4005003967285141, 84939.185125 447383.845 0.4005003967285141, 84937.365125 447386.599 0.4005003967285141, 84937.428125 447386.64 0.4005003967285141, 84937.298125 447386.838 0.4005003967285141))",120,454,0.5872356749049196,0.4083609457360017,0.9942586841288774,0.8788143085959165,0.45001500345725487,0.34082205842426916,0.990595956900481,0.6394819699551115,0.8646916695378681,0.8604122634288587,0.659111640044563,0.047249692481171945,0.6422059827582891,0.9877596411854502,0.9929281288723263,0.9779008426058856,0.7997571125561875,0.7571207863952318,0.6293339197598978,-1,0.5885626006170704,0.5470646566513271,0.7663130397591571,0.6934888228922097,0.6760258319517924,0.5442806119014247,0.5196621555678123,0.4593705205511441,0.6834351981716698,0.7402041191752708,0.6206564246068047,0.5670042031180108,0.7897885713462373,0.8996562058031901,145.72823384568545,0.0
NL.IMBAG.Pand.0503100000017205-0,BuildingPart,2.2,24,8,6,9.772869121322561,9.772936254704069,10.109606893630112,19.563360823981846,8.007313060027418,1.779755601122902,2.239879451617129,27.714935110606426,3.9505299999954357,19.80819476776226,3.956210345497553,4,16,4,1,4,1,2.5565003967285165,2.432500396728514,0.12400000000000233,2.4945003967285153,2.4945003967285153,0.06003332407921506,NA,0.020500396728515113,"[0.         0.         0.         0.         0.         0.
 5.53698203 0.         0.         0.         0.         0.
 0.         0.         0.         4.42978135 0.         0.
 0.         0.         0.         0.         0.         0.
 5.54510137 0.         0.         0.         0.         0.
 0.         0.         0.         4.29633002 0.         0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84922.405125 447385.108 0.0205003967285151, 84921.137125 447386.954 0.0205003967285151, 84922.618125 447387.941 0.0205003967285151, 84923.860125 447386.077 0.0205003967285151, 84922.405125 447385.108 0.0205003967285151))",9,8,0.7742685365310935,0.5036890068789143,1.0,0.9999931306846009,0.6698040532367637,0.5425186259744311,0.9909924599701427,0.9666913089845538,0.9928893790123904,0.9895827267601327,0.20542348837658686,0.12384936279163439,0.30383128303034623,0.8642524957016552,0.9994590093452572,1.000440720762383,1.0441919104360784,1.1486166908417343,0.8843949253070171,-1,1.1972138384945008,1.407274989312231,0.8799253016768489,0.7975996966855063,0.8214800552325409,1.1048794314541062,0.7839223023259428,0.5445704494289737,0.851512313585984,0.8001691636622018,0.7839776773431126,0.6943432085401133,1.1344510870055662,0.9550646099980993,5.524945647857051,-0.0
NL.IMBAG.Pand.0503100000017207-0,BuildingPart,2.2,24,8,6,54.81339533443206,54.813395333772455,57.21760966246182,166.64752770057197,22.96098928089637,2.350542428443815,9.130645650685878,101.66106975435324,21.457521000169496,58.65390557145936,21.549643185744095,4,16,4,1,4,1,3.201500396728516,2.9785003967285153,0.22300000000000075,3.0900003967285157,3.0900003967285157,0.10902866595533488,NA,0.5355003967285157,"[ 0.          0.          0.          0.          0.          0.
  5.99858444  0.          0.          0.          0.          0.
  0.          0.          0.         22.32763584  0.          0.
  0.          0.          0.          0.          0.          0.
  6.0082106   0.          0.          0.          0.          0.
  0.          0.          0.         24.31947469  0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84873.202125 447365.792 0.5355003967285157, 84874.507125 447363.837 0.5355003967285157, 84866.914125 447358.767 0.5355003967285157, 84865.609125 447360.721 0.5355003967285157, 84873.202125 447365.792 0.5355003967285157))",72,64,0.5114559302994128,0.4021294505441618,1.0,1.0000000000120337,0.5108050157319559,0.4224372355007966,0.999792703061719,0.9579812169328166,0.806973305535272,0.8516367189411218,0.742565584256657,0.6493675782404253,0.2657997385083134,1.487036892169277,0.9999567413610628,0.9954994761775233,0.7316967737750393,0.6829758896542588,0.5520683842527635,-1,0.4808107798327624,0.4191397651230264,0.7151614714869732,0.6864157693390369,0.6552586734961086,0.6953958554552101,0.4495412892428613,0.4434124469084759,0.6176766907817393,0.6155937273241836,0.5543951626551973,0.48103847681978407,0.8007590090998881,1.4173321941718715,0.0,1.5068262997196713
NL.IMBAG.Pand.0503100000017208-0,BuildingPart,2.2,44,14,10,102.14486733614203,102.83907298897408,130.1786733710373,249.739103675728,18.52697135105447,4.2096771851429065,5.088640781228884,130.01686432190598,21.263701500053596,79.67100154453087,29.08216146512462,6,30,8,1,7,2,6.095500396728516,3.4735003967285145,2.6220000000000017,4.834625396728516,4.898500396728515,1.1880679102538716,NA,0.018500396728516222,"[ 0.          0.          0.          0.          0.          0.
 14.94333476  0.          0.          0.          0.          0.
  0.          0.          0.         24.17292077  0.          0.
  0.          0.          0.          0.          0.          0.
 16.05236319  0.          0.          0.          0.          0.
  0.          0.          0.         24.50238283  0.          0.        ]","[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150. 160. 170. 180. 190. 200. 210. 220. 230. 240. 250. 260. 270.
 280. 290. 300. 310. 320. 330. 340. 350. 360.]",[],True,0,"POLYGON Z ((84890.618125 447361.685 0.0185003967285162, 84888.289125 447365.192 0.0185003967285162, 84890.187125 447366.424 0.0185003967285162, 84892.557125 447367.963 0.0185003967285162, 84894.835125 447364.454 0.0185003967285162, 84892.501125 447362.921 0.0185003967285162, 84890.618125 447361.685 0.0185003967285162))",49,165,0.7784663977677703,0.5181174328682087,0.999972206930305,0.9932495924685505,0.47640233948897615,0.3663775323588674,0.9926320172633529,0.7846513156959829,0.9955773208975072,1.008391697160635,0.17273052547319168,0.16518079730419155,0.3093795568609494,0.9731082799284044,1.0000554906422507,1.0197766211940948,0.9763498281376526,0.8401179557643643,0.8950651602006784,-1,0.9364317820302499,0.7010340762875727,0.8823074281494916,0.8127596511599781,0.9002358988551638,0.6922823579673368,0.8060218285342048,0.6582409684136983,0.8899075433520734,0.8587521194283095,0.789870414269332,0.7004286667292727,0.9251474219907612,0.8892985635909557,23.293926965785392,0.0
